account_id,customer_ref,account_type,account_status,open_date,product_tier,mobile_number,digital_channel,credit_limit,current_balance,last_activity_date
5ec3eee9-6328-4c80-21df-70688362b793,14ba5496-e597-65bc-4ca3-7607f0c76436,TRANSACTIONAL,ACTIVE,2020-05-09,BASIC,0830713381,APP,,5264.19,2023-01-25
029d0de4-e353-bb6a-54d6-6ae5b4fad417,533091ce-a11c-8296-6f2a-24f276e7f2ba,TRANSACTIONAL,ACTIVE,2022-01-03,BASIC,0631407685,APP,,22396.83,2025-06-09
5567e963-a2e6-2a73-2948-fd58f9b6da6f,18d8745a-9e09-8edb-5341-fca3071b8062,TRANSACTIONAL,CLOSED,2020-08-31,BASIC,0850774868,USSD,,8738.34,2024-05-27
58c3952d-bc30-e8a4-47f6-9f5cef7ad7d8,5eb0c8c3-54d2-47c4-099a-2ac8dabbc1d4,SAVINGS,DORMANT,2019-07-23,BASIC,0638765210,USSD,,26034.75,2024-07-15
0a3039c2-48f6-7be6-3e30-08e47608064a,52e95a82-efe8-ffe9-458d-38140d1af459,TRANSACTIONAL,DORMANT,2019-12-02,BASIC,0682041786,APP,,31164.08,2024-12-12
2e55c4e5-c744-344e-5b6c-0d8669cdd125,630ac81c-0e17-5b58-637e-c715c90f5416,TRANSACTIONAL,CLOSED,2018-08-19,BASIC,,USSD,,10040.29,2020-12-20
474d7545-cadf-3f09-54ea-1c1054171af3,08701cb0-f6ee-11a6-6576-2061520ee1ca,TRANSACTIONAL,ACTIVE,2018-04-01,STANDARD,0655582753,APP,,36263.0,2024-05-02
5f0c7d9d-9d7b-f181-0043-34a509266409,0e87ac7b-ccb7-5455-0ac5-264c8fca435f,TRANSACTIONAL,ACTIVE,2025-08-30,BASIC,0692956817,APP,,45253.74,2025-10-06
61a10edf-6158-865f-7082-6371c10239e1,5a8d4e7c-c105-2e8f-3581-9772d9bf6ea7,SAVINGS,ACTIVE,2023-08-31,STANDARD,,APP,,42422.1,2024-07-19
710f6577-8777-c31c-34e6-fb6f93ccb05e,237483db-4fd8-f115-509b-a8c413a26562,SAVINGS,ACTIVE,2018-03-31,STANDARD,0732957295,APP,,48583.9,2022-11-02
477d6fa3-bffa-392a-0243-cafb0fd3a817,4a97fd24-bba6-df4f-40ac-78fa073c0c35,CREDIT,ACTIVE,2024-11-10,PREMIUM,0768856371,APP,210000.0,-165900.63,2025-08-04
15a490b5-9994-6261-2c0d-b860ded80552,15954cb1-c780-1df8-14a1-f289dcc42d2d,SAVINGS,ACTIVE,2021-09-16,STANDARD,0755902717,APP,,49186.9,2021-12-09
6201b05b-4697-b689-7fb1-1c5a6ca58cd6,6c4fad25-820b-df4e-090b-1528d6844456,TRANSACTIONAL,ACTIVE,2023-05-10,BASIC,0616281477,WEB,,39612.29,2023-07-16
2963b523-d018-2ad9-2a92-edda2f10d895,3ef3eb70-0c27-bd43-206e-476fe1a40e73,TRANSACTIONAL,ACTIVE,2020-04-11,BASIC,0736873970,USSD,,40720.42,2020-07-28
6a05bce1-cf3b-648a-766b-738cea252e69,14a520d1-3a93-8d3f-6f32-7d7ef3126fea,TRANSACTIONAL,CLOSED,2022-07-09,STANDARD,0870978511,APP,,30721.52,2025-09-04
4ace389f-ddd6-bf89-30f8-7325f60f0a62,4d96d2a9-708e-2ddf-2072-9b76c1ae3b32,CREDIT,DORMANT,2025-01-23,STANDARD,,USSD,229000.0,-167845.93,2025-04-12
7fd6b174-1a66-a148-5725-5e3b7ad4fd03,4c0a21ba-e18f-c8d9-15c7-44c883306f39,SAVINGS,DORMANT,2022-10-26,BASIC,0765736816,APP,,47232.27,2024-10-06
65ff5c9d-0a67-e816-7a02-40b722a00d8f,60fe9752-4712-824b-7db1-d22a0e66756d,TRANSACTIONAL,ACTIVE,2019-03-21,BASIC,0613629896,APP,,3263.93,2023-11-25
20c90522-fe80-66e7-6b66-de70fc519627,38d42617-7b39-632a-57e4-47999d782e9b,TRANSACTIONAL,ACTIVE,2024-05-31,BASIC,0844395748,APP,,36021.5,2025-12-29
232b9076-65df-f7a5-4077-699a98a21349,1193eb37-50f1-3ac9-109a-3aebe1152236,SAVINGS,ACTIVE,2018-11-24,PREMIUM,0871641022,USSD,,4068.62,2024-04-27
65b6bf4b-bbaf-edd0-2428-8ae35e3ee623,4ca09d1f-9475-d3c6-7ac8-83551c023ded,TRANSACTIONAL,DORMANT,2022-11-17,BASIC,0897565935,USSD,,28876.75,2024-11-02
0360e0fa-5da4-c09d-6392-af50e5dfee2d,1de2b589-1919-764c-2a3a-e9418f0f6ccc,SAVINGS,ACTIVE,2018-06-21,BASIC,0736518473,APP,,-233.92,2020-09-01
3070be3b-43e2-7e0a-3738-5c8428d68e68,18b1a356-fe6b-7c36-74c2-f045e03d0b0f,SAVINGS,ACTIVE,2025-10-11,STANDARD,,WEB,,43483.8,2025-10-18
610c3868-a53e-4508-31a8-847be8e66817,1f809cfa-d6cf-d531-2490-c894684b506a,SAVINGS,ACTIVE,2018-05-09,BASIC,0767030705,APP,,43954.21,2019-04-19
20316651-e8e9-ce55-0be4-a1c56c7e16ab,0588b1cd-1cf8-5999-3f42-e53755e19b88,CREDIT,ACTIVE,2019-05-14,STANDARD,0845084918,USSD,229000.0,-124969.55,2025-04-27
675b0f68-ea93-04e6-0061-523897933a52,02046009-5851-e9ba-0c75-37191d1e882f,TRANSACTIONAL,CLOSED,2018-02-27,PREMIUM,0654970158,USSD,,21523.03,2023-06-10
4f3b0ed5-04dd-e520-6add-f5f6d5e8041c,7bdd67b9-b908-2544-0600-ed9b63982446,TRANSACTIONAL,ACTIVE,2025-11-17,BASIC,0714381194,USSD,,41066.57,2025-12-11
74cc5089-d4ce-5990-2d1b-5ed52880fb96,027a19d5-3da9-f51d-0a00-00825a066075,TRANSACTIONAL,ACTIVE,2025-12-06,STANDARD,0891050139,APP,,13078.0,2025-12-11
2038e879-1024-b825-0dc9-775fb205509b,665bdda5-b847-2524-3d81-bbf8c7e75079,CREDIT,CLOSED,2025-11-23,BASIC,0789680899,APP,248000.0,-139315.99,2025-12-28
294c4471-2222-ebcd-43ae-890426be5ecc,1a13dcf4-2c0b-27e4-094d-054e752fa9e6,CREDIT,DORMANT,2025-05-05,STANDARD,0778657415,APP,199000.0,-1282.17,2025-10-16
0c557f90-22bf-7dd3-5c2c-ccbb7272b17e,07c73a20-46d7-e7fb-5df1-5f02b1d0e77b,SAVINGS,ACTIVE,2022-10-24,STANDARD,0882106904,APP,,2273.89,2023-03-29
648ac03c-b571-a78e-0e38-ed35470a6395,24670422-f59c-b8da-4f45-8b2bcddc34a3,SAVINGS,ACTIVE,2019-12-07,STANDARD,0832370530,WEB,,20927.18,2020-02-01
100e2d16-0fe1-717b-4664-175319324662,7591537f-d38d-70c9-49ff-0cbc8b3a3f50,TRANSACTIONAL,ACTIVE,2018-08-11,BASIC,0788044809,APP,,39596.38,2022-07-01
3d3117b4-46b4-c194-241b-9c45e12ed905,026fb601-3111-1d05-152e-b3ed59de69cd,TRANSACTIONAL,SUSPENDED,2019-02-03,BASIC,0626300815,APP,,22707.27,2021-11-16
4c05e31b-812e-34a7-18b7-3f0ff947c061,047b1a40-f850-b9bd-57e9-8d4335fbc9d2,SAVINGS,ACTIVE,2021-07-30,BASIC,0798005119,USSD,,32217.44,2023-11-24
443545b7-16a3-ed54-5b77-603fde52ccc1,49b67cad-086a-ee17-356d-cc382f93e65c,TRANSACTIONAL,ACTIVE,2020-06-08,BASIC,,WEB,,49870.6,2020-10-14
36414a4f-e29f-8765-36da-4ef684c46576,1f074ee7-b635-d0a3-63ca-3c53819b23bd,SAVINGS,ACTIVE,2021-11-18,PREMIUM,0868116747,APP,,15091.92,2025-05-17
4b58a792-3b0e-f7cc-7542-ab397180ae43,01ad0f64-ab6d-6f28-7236-5760569199cf,TRANSACTIONAL,DORMANT,2022-07-01,BASIC,0731721226,APP,,33010.2,2023-03-13
6d7e889a-3980-0ac4-18a6-1a31615c5af9,66026e05-4cee-c198-781e-a50cd2cbed23,TRANSACTIONAL,SUSPENDED,2019-08-28,STANDARD,0690492182,APP,,24171.54,2021-11-09
7245ba92-b431-ff73-6aa9-4770759686c4,5653fbcf-d218-618f-692a-e3c51878df32,SAVINGS,DORMANT,2020-09-16,BASIC,0792215186,USSD,,47192.04,2020-10-03
7bc97e2b-e6e0-3f42-717c-3e76b58d697a,7e7ce05a-cddc-4066-2e21-3e95634a9063,SAVINGS,ACTIVE,2021-05-17,PREMIUM,0677670935,USSD,,43906.11,2024-06-24
5b5e9c4d-dbed-22f5-5d5e-0064020d8be3,01df3d57-c80b-a32d-428e-dfd01e54f03b,TRANSACTIONAL,ACTIVE,2025-04-17,STANDARD,0815569654,APP,,35901.71,2025-06-01
6d189ad0-b9a1-ba7d-78c9-41f723bfc466,564b35bc-4681-143b-5636-81cf28a8f3ec,CREDIT,SUSPENDED,2020-04-26,PREMIUM,0875336910,USSD,106000.0,-80483.66,2025-01-13
07f27ae4-78e5-c160-2523-b44e743aedef,3db7dcab-941c-b1bc-65f5-2ff2d041d0a9,CREDIT,CLOSED,2022-07-25,BASIC,0657785187,APP,70000.0,-58021.47,2025-01-12
6e6a9c7f-a1a4-eede-5bda-99c43e1fceb1,5f106a9b-bc8b-06e7-5652-bb29c507f5dd,TRANSACTIONAL,DORMANT,2019-05-13,BASIC,0677127408,USSD,,48049.97,2025-09-10
7a5af7be-a491-3e5d-72eb-0c71c4b9121e,4267aaa7-de36-c6c5-09be-4889030f68d2,SAVINGS,ACTIVE,2020-07-28,BASIC,0734683818,WEB,,39484.24,2020-12-17
0f4277f6-e5ae-554b-7d73-0bd52b5cebf7,0b11a44e-fa60-8a1c-2d09-59d0fc227f4b,TRANSACTIONAL,ACTIVE,2021-04-03,STANDARD,0746154764,APP,,41772.97,2024-08-21
2d5aa06c-3552-46dc-6488-63babae090c1,368106d3-bbf5-ed15-403d-5f7ee16e74af,TRANSACTIONAL,ACTIVE,2024-12-28,BASIC,0795989207,WEB,,-298.24,2025-12-07
3e2bfd0a-d469-cce4-7b3c-dc59682f21d1,53503ae3-7e4f-e3ac-0e2c-bba069af5e79,TRANSACTIONAL,ACTIVE,2018-06-13,BASIC,0689864381,USSD,,40691.81,2022-11-15
55fa8549-9c3a-b7db-3a7b-0c93bd9e1706,5d722911-846e-12a8-750f-aa4cfe65d058,SAVINGS,ACTIVE,2018-06-07,BASIC,0612743231,USSD,,29592.49,2021-07-14
719c6358-f1df-5b9a-6035-69476e793ef5,5f0b9027-ec71-3301-0c00-28c1819ad96e,SAVINGS,ACTIVE,2021-01-06,STANDARD,0748083974,APP,,32346.1,2021-04-15
5e4cf484-4f3c-d06e-5b80-32f57723a2d7,3c131f8b-7017-2ea5-6085-af3080f3481a,TRANSACTIONAL,ACTIVE,2024-10-12,PREMIUM,0748258874,USSD,,8727.2,2025-08-19
67b76f8b-0b6e-55df-0cd5-4c5498727a5e,7b952f30-97ef-46b5-720d-95f14f7d437d,SAVINGS,ACTIVE,2024-10-13,BASIC,0682766139,USSD,,31118.11,2025-10-01
156b46cf-2fdf-7303-287b-358109c5f963,19deb0b2-7b29-eb4a-6f3f-2f349d45635f,TRANSACTIONAL,ACTIVE,2021-11-15,BASIC,0680890627,APP,,30460.61,2023-07-07
22f92134-6035-90f4-57af-28b93c4e56c0,3bea5e11-dd05-caa1-26c0-553dfecc7e56,TRANSACTIONAL,ACTIVE,2021-12-14,PREMIUM,0899054712,USSD,,6511.32,2023-01-17
1b5909a4-697c-cd50-0011-4448bf202ad3,5df2db1d-2f02-81b2-6a5f-fcd9d4ac5bf9,TRANSACTIONAL,ACTIVE,2023-05-27,BASIC,0879796096,USSD,,29860.51,2025-10-18
1463dbc3-0797-cb44-1b7d-da975ed183ec,54957a5c-42a7-05d4-1316-f2b24a94420e,SAVINGS,ACTIVE,2020-03-25,STANDARD,0842537285,WEB,,9099.32,2022-08-20
62594166-7017-2c60-68a0-9b30b9a623c1,4467d719-1ee3-64e4-6d84-7acfc57d98c4,TRANSACTIONAL,ACTIVE,2018-01-19,STANDARD,0774545377,WEB,,35387.51,2018-08-28
2c72b3e5-2054-6d9a-36a8-dd626f49c863,66dc87b9-d3d7-8cca-1e9f-319f2d2bccb4,SAVINGS,SUSPENDED,2018-12-26,BASIC,0843768377,APP,,26436.03,2025-08-30
64e4f7f0-f0e3-0589-5b95-97a55e128d0f,1cee5cc7-8363-7ed2-57a9-5687e586122a,SAVINGS,ACTIVE,2019-04-18,STANDARD,0739802281,WEB,,42763.78,2019-12-23
3e66fd47-ce3e-265a-6e0c-a08134b9c007,2a27a67b-099a-1e27-3e68-bb7228ac180c,CREDIT,ACTIVE,2022-05-11,BASIC,0715413280,APP,245000.0,-71067.69,2022-09-26
2b2377f0-56f7-2375-1ed4-03c72cc87207,6ddbd74e-702d-a91c-3d6b-931044b822db,SAVINGS,DORMANT,2019-06-09,STANDARD,0840784055,APP,,46919.67,2025-11-24
698c892f-7310-c939-771f-950c346175c0,5724e988-fe71-5fae-49a2-000db42b4982,TRANSACTIONAL,DORMANT,2020-08-15,STANDARD,0717737443,APP,,31692.97,2022-01-04
